source_item,crop,country,demand_mt,dm_mt
silage-maize,silage-maize,DEU,14.85,14.85
silage-maize,silage-maize,ITA,2.4,2.4
silage-maize,silage-maize,AUT,0.25,0.25
silage-maize,silage-maize,CZE,0.42,0.42
