crop,country,correction_bnusd_per_mha
alfalfa,AFG,-0.3613618314266205
alfalfa,AGO,-0.9381504952907562
alfalfa,ALB,-0.5532752722501755
alfalfa,ARE,-0.8472728133201599
alfalfa,ARG,-0.724528580904007
alfalfa,ARM,-0.0
alfalfa,ATG,-7.5
alfalfa,AUS,0.37977923452854156
alfalfa,AUT,-0.8089405298233032
alfalfa,AZE,0.5910350233316422
alfalfa,BDI,-0.5545685291290283
alfalfa,BEL,0.03831017090124078
alfalfa,BEN,0.3704932779073715
alfalfa,BFA,-0.0
alfalfa,BGD,-0.7667536735534668
alfalfa,BGR,0.008758635260164738
alfalfa,BHS,-0.6647240519523621
alfalfa,BIH,3.789812069386244
alfalfa,BLR,-2.806079253554344
alfalfa,BLZ,-0.010105629451572895
alfalfa,BOL,-0.37848326563835144
alfalfa,BRA,-0.6524094343185425
alfalfa,BRB,1.7822409272193909
alfalfa,BRN,-0.8346583247184753
alfalfa,BTN,-0.001871597021818161
alfalfa,BWA,-7.5
alfalfa,CAF,-0.6662335693836212
alfalfa,CAN,-0.4924847185611725
alfalfa,CHE,0.49974900484085083
alfalfa,CHL,-0.868007481098175
alfalfa,CHN,0.07321733981370926
alfalfa,CIV,7.5
alfalfa,CMR,0.45360109210014343
alfalfa,COD,-0.10757382959127426
alfalfa,COG,-0.09945236518979073
alfalfa,COL,-0.1985142081975937
alfalfa,COM,0.3002162575721741
alfalfa,CPV,-7.5
alfalfa,CRI,-0.22407843172550201
alfalfa,CUB,-0.2862354665994644
alfalfa,CYP,2.749604105949402
alfalfa,CZE,-0.3859436810016632
alfalfa,DEU,-0.022476794430986047
alfalfa,DJI,-0.835690438747406
alfalfa,DNK,6.004988431930542
alfalfa,DOM,-0.616400271654129
alfalfa,DZA,-0.25785040855407715
alfalfa,ECU,-0.07392867282032967
alfalfa,EGY,1.912139892578125
alfalfa,ERI,-0.8745495080947876
alfalfa,ESP,-1.1559807658195496
alfalfa,EST,-0.119085893034935
alfalfa,ETH,-0.8379373252391815
alfalfa,FIN,-0.0
alfalfa,FJI,-0.373370498418808
alfalfa,FRA,-0.31077052652835846
alfalfa,GAB,-0.8707610964775085
alfalfa,GBR,0.1568083092570305
alfalfa,GEO,-0.5318324565887451
alfalfa,GHA,-0.9061825275421143
alfalfa,GIN,-0.8761205673217773
alfalfa,GMB,-7.5
alfalfa,GNB,-0.0
alfalfa,GNQ,-0.7592925727367401
alfalfa,GRC,-0.6527281105518341
alfalfa,GRD,0.10864944756031036
alfalfa,GTM,-0.5668327510356903
alfalfa,GUF,-2.7332428693771362
alfalfa,GUY,-0.07167529128491879
alfalfa,HND,-0.3479782044887543
alfalfa,HRV,-4.087068527936935
alfalfa,HTI,-0.8184686303138733
alfalfa,HUN,-0.6875935196876526
alfalfa,IDN,-0.14206960052251816
alfalfa,IND,2.2658207416534424
alfalfa,IRL,-0.5063982009887695
alfalfa,IRN,-1.4752857685089111
alfalfa,IRQ,1.6464712619781494
alfalfa,ISL,-0.8342201411724091
alfalfa,ISR,1.1934051513671875
alfalfa,ITA,0.3182814121246338
alfalfa,JAM,1.3907389640808105
alfalfa,JOR,0.4094598889350891
alfalfa,JPN,-0.03383052349090576
alfalfa,KAZ,-0.5671937465667725
alfalfa,KEN,-0.4995366930961609
alfalfa,KGZ,-0.8171840310096741
alfalfa,KHM,-0.2528349310159683
alfalfa,KOR,-0.1098008081316948
alfalfa,LAO,3.607166960835457
alfalfa,LBN,2.68390154838562
alfalfa,LBR,-0.9216444790363312
alfalfa,LBY,-1.7812474370002747
alfalfa,LKA,-0.346634104847908
alfalfa,LSO,-0.38055141270160675
alfalfa,LTU,0.13494518399238586
alfalfa,LUX,-0.31373557448387146
alfalfa,LVA,-0.9526911675930023
alfalfa,MAR,1.0547937750816345
alfalfa,MDA,0.04957894142717123
alfalfa,MDG,-0.26456888020038605
alfalfa,MEX,-0.2930764853954315
alfalfa,MKD,-0.020708836615085602
alfalfa,MLI,-7.5
alfalfa,MLT,-7.5
alfalfa,MMR,3.5274622440338135
alfalfa,MNE,0.8034239411354065
alfalfa,MNG,-0.82518070936203
alfalfa,MOZ,-0.6108028888702393
alfalfa,MRT,-1.277125060558319
alfalfa,MUS,-0.7995986342430115
alfalfa,MWI,-0.453051894903183
alfalfa,MYS,-0.2977290749549866
alfalfa,NAM,-7.5
alfalfa,NER,-0.18196163699030876
alfalfa,NGA,-0.9605015814304352
alfalfa,NIC,-1.8630978465080261
