crop,country,correction_bnusd_per_mha
alfalfa,AFG,-0.3613618314266205
alfalfa,AGO,-0.9381504952907562
alfalfa,ALB,-0.21057342505082488
alfalfa,ARE,-0.5616742968559265
alfalfa,ARG,-0.4484255313873291
alfalfa,ARM,-0.0
alfalfa,ATG,-7.5
alfalfa,AUS,1.1249650120735168
alfalfa,AUT,-0.8089405298233032
alfalfa,AZE,0.7512823343276978
alfalfa,BDI,-0.8992443978786469
alfalfa,BEL,0.045041752979159355
alfalfa,BEN,0.509820744395256
alfalfa,BFA,-0.0
alfalfa,BGD,1.34209805727005
alfalfa,BGR,0.22462893277406693
alfalfa,BHS,-4.105992168188095
alfalfa,BIH,3.9570419043302536
alfalfa,BLR,-2.554411143064499
alfalfa,BLZ,-0.010105629451572895
alfalfa,BOL,-0.37848326563835144
alfalfa,BRA,-0.6524094343185425
alfalfa,BRB,2.1073940992355347
alfalfa,BRN,-0.8346583247184753
alfalfa,BTN,-0.2713441401720047
alfalfa,BWA,-7.5
alfalfa,CAF,-0.9728804230690002
alfalfa,CAN,-0.5801257193088531
alfalfa,CHE,0.49974900484085083
alfalfa,CHL,-0.8672170341014862
alfalfa,CHN,0.1025860533118248
alfalfa,CIV,7.5
alfalfa,CMR,0.5480649471282959
alfalfa,COD,-0.10757382959127426
alfalfa,COG,-0.09945236518979073
alfalfa,COL,-0.1985142081975937
alfalfa,COM,0.42428551614284515
alfalfa,CPV,-7.5
alfalfa,CRI,-0.22407843172550201
alfalfa,CUB,-0.2862354665994644
alfalfa,CYP,3.1265496015548706
alfalfa,CZE,-0.053136203438043594
alfalfa,DEU,0.06634383089840412
alfalfa,DJI,-0.835690438747406
alfalfa,DNK,6.584723472595215
alfalfa,DOM,-1.0948958098888397
alfalfa,DZA,-0.0
alfalfa,ECU,-0.07392867282032967
alfalfa,EGY,2.2787458896636963
alfalfa,ERI,-0.8745495080947876
alfalfa,ESP,-1.1050764322280884
alfalfa,EST,-0.026798568665981293
alfalfa,ETH,-0.8379373550415039
alfalfa,FIN,-0.0
alfalfa,FJI,-0.22047322988510132
alfalfa,FRA,-0.31077052652835846
alfalfa,GAB,-0.8469574749469757
alfalfa,GBR,0.17221324890851974
alfalfa,GEO,-0.5318324565887451
alfalfa,GHA,-0.9061825275421143
alfalfa,GIN,-0.8761205673217773
alfalfa,GMB,-7.5
alfalfa,GNB,-0.0
alfalfa,GNQ,-0.7592925727367401
alfalfa,GRC,-0.5888340771198273
alfalfa,GRD,0.22709673643112183
alfalfa,GTM,-0.5668327510356903
alfalfa,GUF,-2.7332428693771362
alfalfa,GUY,-0.07167529128491879
alfalfa,HND,-0.3269353359937668
alfalfa,HRV,-3.989750787615776
alfalfa,HTI,-0.9849196076393127
alfalfa,HUN,-0.5287011563777924
alfalfa,IDN,-0.14206960052251816
alfalfa,IND,2.838315486907959
alfalfa,IRL,-0.5063982009887695
alfalfa,IRN,-1.4752857685089111
alfalfa,IRQ,1.8651609420776367
alfalfa,ISL,-0.7714725732803345
alfalfa,ISR,1.363986611366272
alfalfa,ITA,0.28998690843582153
alfalfa,JAM,1.6716321110725403
alfalfa,JOR,0.9228179454803467
alfalfa,JPN,-0.03383052349090576
alfalfa,KAZ,-0.524880051612854
alfalfa,KEN,-0.4995366930961609
alfalfa,KGZ,-0.8171840310096741
alfalfa,KHM,-0.847377210855484
alfalfa,KOR,-0.033373056910932064
alfalfa,LAO,3.503615453839302
alfalfa,LBN,2.5468711853027344
alfalfa,LBR,-0.9216444790363312
alfalfa,LBY,-1.7812474370002747
alfalfa,LKA,-0.7087520360946655
alfalfa,LSO,-0.9258889853954315
alfalfa,LTU,0.40700384974479675
alfalfa,LUX,-0.31373557448387146
alfalfa,LVA,-0.549990713596344
alfalfa,MAR,1.5388485193252563
alfalfa,MDA,0.2783278673887253
alfalfa,MDG,-0.26456888020038605
alfalfa,MEX,-0.3489631116390228
alfalfa,MKD,0.20892014354467392
alfalfa,MLI,-7.5
alfalfa,MLT,-7.5
alfalfa,MMR,4.112518787384033
alfalfa,MNE,1.9577288627624512
alfalfa,MNG,-0.8200724124908447
alfalfa,MOZ,-0.6108028888702393
alfalfa,MRT,-1.277125060558319
alfalfa,MUS,-0.8317568600177765
alfalfa,MWI,-0.453051894903183
alfalfa,MYS,-0.5323594212532043
alfalfa,NAM,-7.5
alfalfa,NER,-0.10631614085286856
alfalfa,NGA,-0.9605015814304352
alfalfa,NIC,-1.8630978465080261
