country,correction_bnusd_per_mha
AFG,-6.574878697040987e-10
AGO,-0.38177555799484253
ALB,-0.17037621140480042
ARE,-0.0
ARG,-0.18566030263900757
ARM,-0.0
ATG,-0.0
AUS,-0.030936773866415024
AUT,9.24111176470177e-10
AZE,0.8074379861354828
BDI,-0.49132993817329407
BEL,0.08877222612500191
BEN,2.4767695665359497
BFA,1.1461352109909058
BGD,4.921134948730469
BGR,-0.2715888172388077
BHS,-0.03126266412436962
BIH,-0.44524990022182465
BLR,-8.282973240625324e-08
BLZ,-0.7399452030658722
BOL,-0.6221835613250732
BRA,-0.5204504728317261
BRB,0.7563457787036896
BRN,-3.437714735099462e-08
BTN,-0.3210534453392029
BWA,-0.0
CAF,-0.44557350873947144
CAN,-0.2165077030658722
CHE,-0.0
CHL,-0.03965021949261427
CHN,-3.014646754451178e-09
CIV,-0.5322433710098267
CMR,2.3419769406318665
COD,-0.7531084418296814
COG,-0.8099571466445923
COL,-0.6204277873039246
COM,1.2269641160964966
CPV,-0.0
CRI,-0.04483989253640175
CUB,-0.17085150629281998
CYP,0.25753504037857056
CZE,-0.12467751279473305
DEU,-0.24095454812049866
DJI,-0.0
DNK,1.6354432702064514
DOM,-0.4018055945634842
DZA,-2.098951901174928e-09
ECU,-0.19687405228614807
EGY,-0.0
ERI,-0.04815981723368168
ESP,-0.020102565176784992
EST,-0.26680906116962433
ETH,-1.9732169675990008e-08
FIN,1.391388475894928
FJI,-0.8463798761367798
FRA,-0.0
GAB,-0.8217355906963348
GBR,-8.699288400748628e-09
GEO,-0.20096751302480698
GHA,-0.5431598126888275
GIN,-0.37204913794994354
GMB,1.0120839476585388
GNB,0.9403035342693329
GNQ,-0.7101413011550903
GRC,-0.150973878800869
GRD,0.532894492149353
GTM,-2.610952076764761e-08
GUF,-0.9834447503089905
GUY,-1.1032667756080627
HND,-0.6275273263454437
HRV,-0.13127634674310684
HTI,-0.30410297214984894
HUN,-0.4085644632577896
IDN,-0.562181144952774
IND,1.3804287314414978
IRL,-0.0
IRN,-0.0
IRQ,-0.0
ISL,-0.07798495143651962
ISR,0.5948144793510437
ITA,0.42469048500061035
JAM,3.0685155391693115
JOR,-0.0
JPN,-0.4728243798017502
KAZ,-1.748426403658243e-09
KEN,-0.2179667055606842
KGZ,-1.2954760597594372e-09
KHM,-0.3935643285512924
KOR,2.702983856201172
LAO,-0.2158590704202652
LBN,0.43595653772354126
LBR,-0.7618840336799622
LBY,2.1369450653452304e-10
LKA,-0.39817817509174347
LSO,-0.48218031227588654
LTU,-0.0
LUX,0.01513665821403265
LVA,-0.2936539202928543
MAR,-0.0
MDA,-0.3453979641199112
MDG,-0.6868391931056976
MEX,-0.0679156482219696
MKD,-0.25515754520893097
MLI,-0.037232923321425915
MLT,-0.0
MMR,2.330914258956909
MNE,-0.21985548734664917
MNG,-0.029697048477828503
MOZ,-0.5160333812236786
MRT,-0.033999696373939514
MUS,-0.07080470398068428
MWI,-3.3964567824895653e-09
MYS,-0.2939038872718811
NAM,-0.0047507211565971375
NER,-0.0
NGA,-0.14038769900798798
NIC,-0.5779949724674225
NLD,0.8321638405323029
NOR,1.1530914902687073
NPL,0.12020483240485191
NZL,-0.0
OMN,-0.0
PAK,-0.0
PAN,-0.6037594079971313
PER,-0.6955994665622711
PHL,-0.11315194144845009
PNG,-0.8056034743785858
POL,0.005302567966282368
PRI,-0.6564330756664276
PRT,-0.15870346128940582
PRY,-0.6874429285526276
PSE,0.5611113011837006
ROU,-0.4107300937175751
RUS,-0.0
RWA,1.4384679225543096e-08
SAU,-0.0
SDN,-0.051845161244273186
SEN,0.31347277015447617
SLB,-1.6454283713329687e-08
SLE,-0.3628302663564682
SLV,2.969320297241211
SOM,-0.05690718814730644
SRB,-0.2870781123638153
SSD,-0.2865627706050873
STP,0.4977031350135803
SUR,-0.13022971898317337
SVK,-0.4101209193468094
SVN,-0.10804693028330803
SWE,1.2225332260131836
SWZ,-2.0683636137164285e-08
SYR,0.1192164272069931
TCD,-0.08657535165548325
TGO,-0.30542606115341187
THA,-1.830725793183774e-08
TJK,0.34243492782115936
TKM,-0.0
TLS,-0.22256753593683243
TTO,-3.4331349985095017e-09
TUN,0.7501199841499329
TUR,0.853947788476944
TWN,-0.3354679197072983
TZA,-0.40795499086380005
UGA,-3.941181603295263e-08
UKR,-0.01624846225604415
URY,-0.38374826312065125
USA,-0.2134283185005188
UZB,-0.0
VEN,-0.30192990601062775
VNM,4.776632308959961
VUT,-0.19533131271600723
YEM,2.167515278372889e-09
ZAF,-0.04584670439362526
ZMB,-0.39802390336990356
ZWE,0.41380505822598934
