product,country,correction_bnusd_per_mt_feed
dairy,AFG,0.15704311430454254
dairy,AGO,-0.10720374993979931
dairy,ALB,0.2039732038974762
dairy,ARE,0.02107481099665165
dairy,ARG,-0.0830312967300415
dairy,ARM,0.1000119112432003
dairy,ASM,-0.0
dairy,ATG,-0.10122861713171005
dairy,AUS,0.01685505546629429
dairy,AUT,0.17007198184728622
dairy,AZE,0.10581577196717262
dairy,BDI,-0.15968918055295944
dairy,BEL,0.19801177084445953
dairy,BEN,-0.15707719326019287
dairy,BFA,-0.1656585931777954
dairy,BGD,-0.03687192779034376
dairy,BGR,0.2208825871348381
dairy,BHS,-0.054491519927978516
dairy,BIH,0.3211663067340851
dairy,BLR,0.11171425879001617
dairy,BLZ,-0.12958690524101257
dairy,BOL,-0.14613374322652817
dairy,BRA,-0.09746488928794861
dairy,BRB,-0.23594264686107635
dairy,BRN,0.014300180599093437
dairy,BTN,0.05847013369202614
dairy,BWA,-0.12191631644964218
dairy,CAF,-0.110183609649539
dairy,CAN,-0.10675651952624321
dairy,CHE,0.19595547765493393
dairy,CHL,-0.09876278042793274
dairy,CHN,0.31595245003700256
dairy,CIV,-0.16207504272460938
dairy,CMR,-0.17060378193855286
dairy,COD,-0.17692848294973373
dairy,COG,-0.1707666888833046
dairy,COL,-0.1525387018918991
dairy,COM,-0.12215038761496544
dairy,CPV,-0.11238348484039307
dairy,CRI,-0.03940237686038017
dairy,CUB,-0.13583030179142952
dairy,CYP,0.21193087100982666
dairy,CZE,0.16133342683315277
dairy,DEU,0.17980960756540298
dairy,DJI,-0.015711184591054916
dairy,DNK,0.21237867325544357
dairy,DOM,-0.03312259167432785
dairy,DZA,0.06647635996341705
dairy,ECU,-0.14603416621685028
dairy,EGY,-0.0010244521545246243
dairy,ERI,-0.09022246487438679
dairy,ESP,0.061828985810279846
dairy,EST,0.19788579642772675
dairy,ETH,-0.12361417338252068
dairy,FIN,0.27306415140628815
dairy,FJI,0.03348633646965027
dairy,FRA,0.10673965141177177
dairy,GAB,-0.030947238206863403
dairy,GBR,0.2269890457391739
dairy,GEO,0.07478091958910227
dairy,GHA,-0.10408715717494488
dairy,GIN,-0.10693381540477276
dairy,GMB,-0.13216522336006165
dairy,GNB,-0.16765744239091873
dairy,GNQ,-0.0
dairy,GRC,0.11884822696447372
dairy,GRD,-0.1427714303135872
dairy,GTM,-0.1039636991918087
dairy,GUF,-0.0
dairy,GUY,-0.08431084454059601
dairy,HND,-0.06969267874956131
dairy,HRV,0.12475622445344925
dairy,HTI,-0.014309266582131386
dairy,HUN,0.18082382529973984
dairy,IDN,0.07828401029109955
dairy,IND,-0.0011650552041828632
dairy,IRL,0.07401346042752266
dairy,IRN,0.15189815312623978
dairy,IRQ,-0.026436693500727415
dairy,ISL,0.21863169968128204
dairy,ISR,0.023620672523975372
dairy,ITA,0.13111210986971855
dairy,JAM,-0.05032552033662796
dairy,JOR,0.26591750979423523
dairy,JPN,0.26855120807886124
dairy,KAZ,0.19330085068941116
dairy,KEN,-0.07146837376058102
dairy,KGZ,0.3617907762527466
dairy,KHM,-0.04458776116371155
dairy,KOR,0.29044999182224274
dairy,LAO,0.010668165050446987
dairy,LBN,0.25697655230760574
dairy,LBR,-0.06981001142412424
dairy,LBY,0.02614612504839897
dairy,LKA,0.11465373635292053
dairy,LSO,-0.12651880830526352
dairy,LTU,0.2064574882388115
dairy,LUX,0.1665899083018303
dairy,LVA,0.1897248774766922
dairy,MAR,-0.01943243807181716
dairy,MDA,0.14422688633203506
dairy,MDG,-0.15470033138990402
dairy,MEX,-0.11362024396657944
dairy,MKD,0.12443366274237633
dairy,MLI,-0.09298433642834425
dairy,MLT,-0.05559426546096802
dairy,MMR,-0.05151781253516674
dairy,MNE,0.37636247277259827
dairy,MNG,0.058131489902734756
dairy,MOZ,-0.09533224999904633
dairy,MRT,-0.11119057238101959
dairy,MUS,-0.02941706031560898
dairy,MWI,-0.11905134841799736
dairy,MYS,0.002693686168640852
dairy,NAM,-0.13286708295345306
dairy,NER,-0.17463833838701248
dairy,NGA,-0.10480029322206974
dairy,NIC,-0.16305844485759735
dairy,NLD,0.0910135880112648
dairy,NOR,0.19190189242362976
dairy,NPL,-0.0020998776890337467
dairy,NZL,0.028402673080563545
dairy,OMN,-0.022310546599328518
dairy,PAK,0.11450739949941635
dairy,PAN,-0.09084049612283707
dairy,PER,-0.10050560534000397
dairy,PHL,0.1611545905470848
dairy,PNG,-3.7788881473243237
dairy,POL,0.1594175398349762
dairy,PRI,-0.10839759185910225
dairy,PRT,0.12673278152942657
dairy,PRY,-0.10043223574757576
dairy,PSE,0.19765548408031464
dairy,ROU,0.23962155729532242
dairy,RUS,0.25911304354667664
dairy,RWA,-0.12225152924656868
dairy,SAU,0.34438690543174744
dairy,SDN,-0.01076778955757618
dairy,SEN,-0.16279811412096024
dairy,SLB,-0.0
dairy,SLE,-0.1317024752497673
dairy,SLV,-0.10502677038311958
dairy,SOM,-0.1119517907500267
dairy,SRB,0.19717387109994888
dairy,SSD,-0.0659387381747365
dairy,STP,-0.07678283378481865
dairy,SUR,-0.08218113519251347
dairy,SVK,0.16425294429063797
dairy,SVN,0.17768772691488266
dairy,SWE,0.21945276856422424
dairy,SWZ,-0.10530882701277733
dairy,SYR,0.06410621106624603
dairy,TCD,-0.1250922977924347
dairy,TGO,-0.16445159167051315
dairy,THA,0.13245469331741333
dairy,TJK,0.37514084577560425
dairy,TKM,0.17261970788240433
dairy,TLS,-0.05460628680884838
dairy,TTO,-0.08890503831207752
dairy,TUN,0.09751147031784058
dairy,TUR,0.04113505221903324
dairy,TWN,0.26005232334136963
dairy,TZA,-0.14775554090738297
dairy,UGA,-0.14393425732851028
dairy,UKR,0.2620643824338913
dairy,URY,-0.14457238465547562
dairy,USA,-0.15267684310674667
dairy,UZB,0.21218205243349075
dairy,VEN,-0.1125888079404831
dairy,VNM,-0.004397318698465824
dairy,VUT,0.011879793368279934
dairy,YEM,-0.02996217180043459
dairy,ZAF,-0.08085231482982635
dairy,ZMB,-0.10454845614731312
dairy,ZWE,-0.36803361028432846
dairy-buffalo,AFG,-0.0
dairy-buffalo,AGO,-0.0
dairy-buffalo,ALB,-0.0
dairy-buffalo,ARE,-0.0
dairy-buffalo,ARG,-0.0
dairy-buffalo,ARM,-0.0
dairy-buffalo,ASM,-0.0
dairy-buffalo,ATG,-0.0
dairy-buffalo,AUS,-0.0
dairy-buffalo,AUT,-0.0
dairy-buffalo,AZE,-0.0
dairy-buffalo,BDI,-0.0
dairy-buffalo,BEL,-0.0
